Date,SPY,EWU,EWA,EWH,50,52
2016-10-11,-0.012710054,-0.02147822,-0.019240648,-0.029648697,-0.007641579,0.004534127
2016-10-12,0.001311182,0,0.006776479,0.006460592,-0.003492843,0.00383791
2016-10-13,-0.003280965,-0.003294906,-0.002898649,-0.011566301,0,0.000900901
2016-10-14,0.000516278,-0.003305729,0.001450324,0.006031264,0.006973529,0.000675143
2016-10-17,-0.003478134,-0.007311446,-0.002902704,-0.005100974,0.00554402,-0.004283627
2016-10-18,0.006242822,0.013912082,0.012518181,0.01063601,0.004137937,0.008996912
2016-10-19,0.002663573,0.003284085,0.007626302,0.00321464,-0.000688468,0.004468283
2016-10-20,-0.00186843,-0.00131236,-0.010021442,0.001374586,0.001376463,-0.007608003
2016-10-21,0.000467325,-0.001314051,-0.005772012,-0.000457938,0.009582551,0.002243663
2016-10-24,0.004243867,-0.00527354,-0.001931499,0.01048082,-0.005464494,-0.00516797
2016-10-25,-0.003356316,-0.001322845,0.008182978,-0.001814903,-0.005494519,-0.003610927
2016-10-26,-0.002009729,-0.005308499,-0.012057051,-0.003183887,0,0.005861153
2016-10-27,-0.002670383,-0.000665553,-0.017128005,-0.008693814,0,0.007390024
2016-10-28,-0.002959779,-0.00066603,-0.004947961,-0.007380095,0,-0.002680967
2016-10-31,4.71E-05,-0.000666405,0.005934777,-0.00138987,-0.011777067,0.002680967
2016-11-1,-0.007271753,-0.003338946,-0.003952602,0.00416378,-0.007695036,0.01087329
2016-11-2,-0.006036861,-0.005365535,-0.010450491,-0.008345018,-0.002812941,-0.002873248
2016-11-3,-0.004587624,0.000672299,0.003495646,-0.003731342,0.013986242,-0.00155056
2016-11-4,-0.00110222,-0.010131829,-0.008008108,-0.012697088,0.004849334,-0.011370092
2016-11-7,0.021817294,0.014825065,0.028729091,0.002363584,-0.033020211,0.009595075
2016-11-8,0.004493775,0.003672238,0.009718217,0.006588284,0.028170877,-0.009819316
2016-11-9,0.010546283,0.012582889,-0.007279705,-0.014647151,-0.027456846,-0.012865543
2016-11-10,0.002492393,0,-0.001950436,-0.002382731,0.000713521,-0.008211725
2016-11-11,-0.002307582,-0.009588382,-0.002932395,-0.007182202,-0.002857145,0.012970941
2016-11-14,0.000785191,-0.004662048,0.002444319,-0.01062804,0.001429593,0.010122682
2016-11-15,0.007772467,0.00532624,0.003898617,0.009185468,0.002853069,-0.030219271
2016-11-16,-0.001880101,-0.010345471,-0.019646931,-0.014542199,0.002844952,0.010327114
2016-11-17,0.005127548,0.006353479,0.001982175,0.011167851,0.001419447,-0.032721332
2016-11-18,-0.002240073,-0.010723919,-0.008451475,0.002892995,0.013385195,0.000943174
2016-11-21,0.007523139,0.013387051,0.008451475,0.004323811,0.004886572,-0.005909484
2016-11-22,0.001951339,0.00298748,0.010832156,0.007640854,-0.005586607,-0.000237107
2016-11-23,0.00054378,-0.000331456,0.009261635,-0.003813056,-0.000700525,0.011552645
2016-11-25,0.003708587,0.004301102,0.010617809,0.002384808,0.005590511,-0.007765659
2016-11-28,-0.004705845,-0.012624762,-0.003847985,-0.004296925,-0.0013947,0.020575895
2016-11-29,0.001948352,0.004669754,0.001444787,0.005725173,0.000697593,0.010818381
2016-11-30,-0.002402109,0.000332738,-0.01649726,0.007110751,0.004175371,-0.014528101
2016-12-1,-0.003682075,0.001329812,0.010705748,-0.009015486,-0.011173301,-0.000929584
2016-12-2,0.000500783,0.008271336,0.001450975,-0.011505381,-0.001405482,0.003944778
2016-12-5,0.005990706,0.007222565,0.001931499,0.003849854,0.012578782,-0.010242175
2016-12-6,0.003162533,0.003265852,0.000964251,0.000480197,0,-0.009402984
2016-12-7,0.01299586,0.01360128,0.013879152,0.006698615,0.01242252,-0.004497581
2016-12-8,0.002445811,-0.001931731,0.002847648,-0.011028667,0.003423488,0.016937596
2016-12-9,0.006022165,0.004822366,0.002366845,-0.006773153,-0.004109595,-0.003037031
2016-12-12,-0.001148483,-0.004178074,0.002361404,-0.01516279,0.001371742,0.013479172
2016-12-13,0.00665182,0.009296443,0.005644309,0.011759057,0.002054092,0.00758886
2016-12-14,-0.008288493,-0.011553417,-0.018939945,-0.017195307,-0.001368926,-0.009206049
2016-12-15,0.004108802,-0.001615253,-0.006714625,-0.005964197,-0.009635312,0.01400551
2016-12-16,-0.001957725,0.003550166,-0.010157316,-0.005498649,-0.006243517,-0.008241805
2016-12-19,0.002175009,-0.00613995,-0.001946435,-0.008557757,-0.001392758,0.002066828
2016-12-20,0.003850168,0.001619405,0.009694713,0,-0.000697107,-0.011072777
2016-12-21,-0.002786545,-0.000262541,-0.000495535,-0.002046078,-0.012631747,-0.010024562
2016-12-22,-0.001728929,-0.003616569,0.000990674,-0.001537337,-0.003537322,-0.000703152
2016-12-23,0.00146313,0.001645517,-0.007453499,-0.003596197,0.003537322,-0.008713113
2016-12-27,0.002478035,0.000986079,0.004478732,0,-0.000706464,-0.008551121
2016-12-28,-0.008298964,-0.003950062,0.003964258,-0.006195188,0.011942537,0.011856909
2016-12-29,-0.000222723,0.005591224,0.007881779,0.006195188,-0.004900255,0.001884127
2016-12-30,-0.00366176,0.006538145,-0.007387325,0.002570009,0.007689657,0.002350177
