Date,SPY,EWM,EWO,EWN,50,55
2016-12-9,0.006022165,-0.000998122,-0.012548903,0.004588083,-0.004109595,-0.002052686
2016-12-12,-0.001148483,-0.001665883,0.00420053,0.002078643,0.001371742,0.009543358
2016-12-13,0.00665182,0.002331432,0.004778978,0.007447211,0.002054092,-0.009543358
2016-12-14,-0.008288493,-0.024584545,-0.017433565,-0.011608741,-0.001368926,0.006825965
2016-12-15,0.004108802,0.000681727,-0.001820986,-0.002505196,-0.009635312,0.00135962
2016-12-16,-0.001957725,0.001702106,0.010275044,0.002505196,-0.006243517,-0.008185585
2016-12-19,0.002175009,-0.005115144,-0.013317285,0.003746087,-0.001392758,-0.004806051
2016-12-20,0.003850168,-0.002053327,0,0.005386407,-0.000697107,0
2016-12-21,-0.002786545,0.001287848,0.008887902,0.004135209,-0.012631747,-0.01595594
2016-12-22,-0.001728929,-0.009700081,-0.003034847,-0.001251335,-0.003537322,-0.002801122
2016-12-23,0.00146313,0.006118484,0.003034847,0.004995888,0.003537322,0.00559442
2016-12-27,0.002478035,0.002508457,-0.001212932,-0.000415351,-0.000706464,-0.004893404
2016-12-28,-0.008298964,0,-0.004866186,-0.007087872,0.011942537,0.009762979
2016-12-29,-0.000222723,0.011741885,0.009104721,0.005840783,-0.004900255,-0.001388889
2016-12-30,-0.00366176,-0.007099823,-0.001209082,0.004565202,0.007689657,0.006234866
