Date,050_IYJ_1d_actual_lnrts,050_IYJ_1d_forecast_lnrts,050_IYJ_1d_true_label,050_IYJ_1d_forecast_label
2016-12-14,-0.010448270406509981,-0.008722901344299316,-1.0,-1.0
2016-12-15,0.0006562181818126727,-0.005233502946794033,1.0,-1.0
2016-12-16,-0.0013128672687108482,-0.004403032828122377,-1.0,-1.0
2016-12-19,0.005159436566872065,-0.0013944730162620544,1.0,-1.0
2016-12-20,0.006026671752339117,-0.006415670737624168,1.0,-1.0
2016-12-21,-0.004887657314851204,-0.004383067134767771,-1.0,-1.0
2016-12-22,-0.0014758973277543403,-0.005551430396735668,-1.0,-1.0
2016-12-23,0.0009021901212663241,-0.004178865812718868,1.0,-1.0
2016-12-27,0.002047429471095798,-0.006004584953188896,1.0,-1.0
2016-12-28,-0.01003135532390286,-0.0051544439047575,-1.0,-1.0
2016-12-29,0.0004130543736261191,-0.004077957943081856,1.0,-1.0
2016-12-30,-0.003972822243816166,-0.0023600319400429726,-1.0,-1.0
